,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",49,49,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,49,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,49,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,50,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,50,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,50,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,51,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,51,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,51,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,52,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,52,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,52,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,53,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,53,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,53,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,54,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,54,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,54,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,55,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,55,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,55,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",49,56,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",1,56,0,recuperado,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",50,56,0,susceptible,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,57,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,57,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,57,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,58,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,58,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,58,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,59,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,59,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,59,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,60,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,60,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,60,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,61,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,61,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,61,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,62,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,62,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,62,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,63,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,63,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,63,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,64,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,64,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,64,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,65,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,65,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,65,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,66,0,susceptible,susceptible,cuarentena,False
"('recuperado', 'susceptible', 'cuarentena', False)",1,66,0,recuperado,susceptible,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",50,66,0,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'cuarentena', False)",49,67,0,susceptible,susceptible,cuarentena,False
