,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",95,8,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,8,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",98,9,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,9,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,10,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,10,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,11,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,11,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",98,12,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,12,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'infeccioso', 'cuarentena', False)",6,13,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,13,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",6,14,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,14,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,15,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,15,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",8,16,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",92,16,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",8,17,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",92,17,6,susceptible,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",96,18,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,18,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,19,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",6,19,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,20,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",6,20,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",98,21,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,21,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,22,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,22,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,23,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,23,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,24,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,24,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",92,25,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",8,25,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",92,26,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",8,26,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,27,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,27,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",92,28,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",8,28,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",92,29,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",8,29,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,30,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,30,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,31,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",6,31,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,32,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",6,32,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",99,33,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",1,33,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,34,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",6,34,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,35,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",6,35,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,36,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,36,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,37,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,37,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,38,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,38,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",98,39,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,39,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,40,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,40,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",93,41,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,41,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,42,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,42,6,susceptible,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",92,43,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,43,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,43,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",92,44,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,44,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,44,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,45,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,45,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,45,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,46,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,46,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,46,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,47,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,47,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,47,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,48,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,48,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,48,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,49,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,49,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,49,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,50,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,50,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,50,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",99,51,6,susceptible,susceptible,trabajo,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,51,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,52,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,52,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,52,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,53,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,53,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,53,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,54,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",3,54,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,54,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",91,55,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",8,55,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,55,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",91,56,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",8,56,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,56,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,57,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,57,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,57,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",92,58,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,58,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,58,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",92,59,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",7,59,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,59,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,60,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,60,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,60,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,61,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,61,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,61,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,62,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,62,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,62,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,63,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,63,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,63,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,64,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,64,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,64,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",95,65,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",4,65,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,65,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",97,66,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",2,66,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,66,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,67,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,67,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,67,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",94,68,6,susceptible,susceptible,trabajo,False
"('susceptible', 'infeccioso', 'cuarentena', False)",5,68,6,susceptible,infeccioso,cuarentena,False
"('expuesto', 'infeccioso', 'cuarentena', False)",1,68,6,expuesto,infeccioso,cuarentena,False
"('susceptible', 'susceptible', 'trabajo', False)",96,69,6,susceptible,susceptible,trabajo,False
