,0,tiempo,it,estado,estado_observado,actividad,sintomas
"('susceptible', 'susceptible', 'trabajo', False)",40,40,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,40,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,41,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,41,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,41,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,42,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,42,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,42,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,43,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,43,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,43,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,44,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,44,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,44,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,45,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,45,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,45,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,46,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,46,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,46,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",57,47,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",40,47,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,47,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,48,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,48,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,48,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,49,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,49,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,49,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,50,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,50,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,50,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,51,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,51,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,51,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,52,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,52,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,52,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,53,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,53,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,53,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,54,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,54,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,54,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,55,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,55,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,55,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,56,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,56,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,56,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,57,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,57,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,57,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,58,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,58,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,58,0,recuperado,susceptible,trabajo,False
"('expuesto', 'susceptible', 'trabajo', False)",58,59,0,expuesto,susceptible,trabajo,False
"('susceptible', 'susceptible', 'trabajo', False)",39,59,0,susceptible,susceptible,trabajo,False
"('recuperado', 'susceptible', 'trabajo', False)",3,59,0,recuperado,susceptible,trabajo,False
