codigo,area_trabajo,tipo_turno,estado_inicial
MC40283,isla_maipo,Administrativo,random
ME280565,isla_maipo,Administrativo,random
MG10163,isla_maipo,Administrativo,random
MG10663,isla_maipo,Administrativo,random
MG130296,isla_maipo,Administrativo,random
MG180693,isla_maipo,Fuera de planta,random
MG20278,isla_maipo,Administrativo,random
MG300663,isla_maipo,Administrativo,random
MG61164,isla_maipo,Administrativo,random
MH190364,isla_maipo,Administrativo,random
ML11063,isla_maipo,Administrativo,random
ML130262,isla_maipo,12 Horas - Dia,random
ML131293,isla_maipo,Administrativo,random
ML160187,isla_maipo,Administrativo,random
ML241162,isla_maipo,Administrativo,random
ML280893,isla_maipo,12 Horas - Backup,random
MM120583,isla_maipo,Administrativo,random
MM170284,isla_maipo,Administrativo,random
MM20481,isla_maipo,Administrativo,random
MM20564,isla_maipo,12 Horas - Backup,random
MM271257,isla_maipo,12 Horas - Noche,random
MN181061,isla_maipo,Administrativo,random
MO50682,isla_maipo,Administrativo,random
MP10286,isla_maipo,12 Horas - Dia,random
MP41094,isla_maipo,Administrativo,random
MR180668,isla_maipo,Administrativo,random
MR40871,isla_maipo,12 Horas - Backup,random
MR81196,isla_maipo,12 Horas - Dia,random
MS180784,isla_maipo,Administrativo,random
MS301080,isla_maipo,Administrativo,random
MS80369,isla_maipo,Administrativo,random
MS80978,isla_maipo,Administrativo,random
MS90359,isla_maipo,Administrativo,random
MU90574,isla_maipo,12 Horas,random
MV100487,isla_maipo,Administrativo,random
MV121189,isla_maipo,Administrativo,random
MV170990,isla_maipo,Administrativo,random
MV271069,isla_maipo,Administrativo,random
NC230873,isla_maipo,Administrativo,random
NC310359,isla_maipo,12 Horas - Noche,random
ND290389,isla_maipo,Administrativo,random
NG20789,isla_maipo,12 Horas - Backup,random
NL200693,isla_maipo,Administrativo,random
NP270982,isla_maipo,Fuera de planta,random
NR191000,isla_maipo,12 Horas - Noche,random
NR60578,isla_maipo,Administrativo,random
NS171085,isla_maipo,Administrativo,random
NV110292,isla_maipo,Administrativo,random
NV130295,isla_maipo,Administrativo,random
NV240495,isla_maipo,12 Horas - Dia,random
NY70684,isla_maipo,Fuera de planta,random
OD271089,isla_maipo,Administrativo,random
OH10466,isla_maipo,Administrativo,random
OJ50871,isla_maipo,Administrativo,random
PA111092,isla_maipo,12 Horas - Backup,random
PA280665,isla_maipo,Fuera de planta,random
PA300895,isla_maipo,12 Horas - Dia,random
PB170381,isla_maipo,Administrativo,random
PB190383,isla_maipo,Administrativo,random
PC230487,isla_maipo,12 Horas - Noche,random
PD160195,isla_maipo,12 Horas - Noche,random
PD261149,isla_maipo,Fuera de planta,random
PE130577,isla_maipo,Administrativo,random
PE50196,isla_maipo,12 Horas - Backup,random
PF30989,isla_maipo,Administrativo,random
PG260186,isla_maipo,12 Horas - Noche,random
PH270960,isla_maipo,Administrativo,random
PH280667,isla_maipo,Administrativo,random
PJ280474,isla_maipo,12 Horas,random
PL261287,isla_maipo,Administrativo,random
PM100488,isla_maipo,Administrativo,random
PM130458,isla_maipo,Administrativo,random
PM150468,isla_maipo,12 Horas - Dia,random
PM290991,isla_maipo,Administrativo,random
PN10391,isla_maipo,12 Horas - Noche,random
PN181180,isla_maipo,Administrativo,random
PP160194,isla_maipo,Fuera de planta,random
PP210278,isla_maipo,12 Horas - Dia,random
PP280385,isla_maipo,12 Horas - Noche,random
PR240574,isla_maipo,Administrativo,random
PR261095,isla_maipo,12 Horas - Noche,random
PS121276,isla_maipo,Administrativo,random
PZ241090,isla_maipo,Administrativo,random
RA100857,isla_maipo,Administrativo,random
RA111193,isla_maipo,Fuera de planta,random
RA210980,isla_maipo,Administrativo,random
RA70700,isla_maipo,Administrativo,random
RC180181,isla_maipo,Administrativo,random
RD100965,isla_maipo,12 Horas - Backup,random
RD171071,isla_maipo,Administrativo,random
RD180388,isla_maipo,12 Horas - Noche,random
RH10469,isla_maipo,Administrativo,random
RH131081,isla_maipo,Administrativo,random
RH90179,isla_maipo,12 Horas,random
RI281278,isla_maipo,Administrativo,random
RL140454,isla_maipo,Fuera de planta,random
RM10596,isla_maipo,12 Horas - Backup,random
RM11080,isla_maipo,12 Horas - Dia,random
RM190185,isla_maipo,12 Horas - Dia,random
RM250477,isla_maipo,12 Horas - Noche,random
RM60772,isla_maipo,Administrativo,random
RM81096,isla_maipo,12 Horas - Backup,random
RO151050,isla_maipo,Fuera de planta,random
RO170192,isla_maipo,Administrativo,random
RP271185,isla_maipo,12 Horas - Noche,random
RR20794,isla_maipo,Administrativo,random
RR310765,isla_maipo,Administrativo,random
RR50173,isla_maipo,Administrativo,random
RR60490,isla_maipo,Administrativo,random
RS260862,isla_maipo,Administrativo,random
RV10481,isla_maipo,Administrativo,random
RV180552,isla_maipo,Fuera de planta,random
SG141290,isla_maipo,12 Horas - Backup,random
SG211296,isla_maipo,Administrativo,random
SL200792,isla_maipo,Administrativo,random
SM30495,isla_maipo,12 Horas - Backup,random
SO110256,isla_maipo,Fuera de planta,random
SO260362,isla_maipo,Administrativo,random
SO60578,isla_maipo,Administrativo,random
SP200288,isla_maipo,12 Horas - Dia,random
SR291167,isla_maipo,Administrativo,random
SR50786,isla_maipo,Administrativo,random
SS250375,isla_maipo,Administrativo,random
SV230688,isla_maipo,12 Horas - Dia,random
TD230781,isla_maipo,12 Horas - Dia,random
TF40782,isla_maipo,12 Horas - Dia,random
TR140180,isla_maipo,Administrativo,random
TR91269,isla_maipo,Administrativo,random
TV240993,isla_maipo,Administrativo,random
VA131092,isla_maipo,Administrativo,random
VA40854,isla_maipo,Fuera de planta,random
VB191279,isla_maipo,12 Horas,random
VC60195,isla_maipo,12 Horas - Dia,random
VG220291,isla_maipo,Administrativo,random
VL300199,isla_maipo,Administrativo,random
VN290977,isla_maipo,Administrativo,random
VO140765,isla_maipo,Fuera de planta,random
VP270893,isla_maipo,Administrativo,random
VS170560,isla_maipo,Fuera de planta,random
WE130798,isla_maipo,Fuera de planta,random
YB60793,isla_maipo,12 Horas - Noche,random
YC180187,isla_maipo,12 Horas - Dia,random
YD70393,isla_maipo,Administrativo,random
YM40584,isla_maipo,12 Horas - Dia,random
YR290684,isla_maipo,Administrativo,random
