codigo;area_trabajo;tipo_turno
NC310359;Industrial;12 horas - Noche
ND290389;Industrial;Administrativo
NG20789;Industrial;12 horas - Backup
NL200693;Planta General ;Administrativo
NP270982;Operación Enología;Fuera de planta
NR191000;Administración;12 horas - Noche
NR60578;Administración;Administrativo
NS171085;Vendimia;Administrativo
NV110292;Operación Enología;Administrativo
NV130295;Agrícola;Administrativo
NV240495;Industrial;12 horas - Día 
NY70684;Industrial;Fuera de planta
OD271089;Operación Enología;Administrativo
OH10466;Agrícola;Administrativo
OJ50871;Operación Enología;Administrativo
PA111092;Logística;12 horas - Cuarentena 
PA280665;Industrial;Fuera de planta
PA300895;BPR;12 horas - Día 
PB170381;Administración;Administrativo
PB190383;Industrial;Administrativo
PC230487;Envasado;12 horas - Noche
PD160195;Casino ;12 horas - Noche
PD261149;Agrícola;Fuera de planta
PE130577;Agrícola;Administrativo
PE50196;Industrial;12 horas - Backup
PF30989;Operación Enología;Administrativo
PG260186;Industrial;12 horas - Licencia 
PH270960;Agrícola;Administrativo
PH280667;Envasado;Administrativo
PJ280474;Industrial;12 Horas
PL261287;Vendimia;Administrativo
PM100488;Recursos Humanos;Administrativo
PM130458;Casino ;Administrativo
PM150468;Industrial;12 horas - Día 
PM290991;Gcia. Asuntos Corporativos;Administrativo
PN10391;Industrial;12 horas - Noche
PN181180;Agrícola;Administrativo
PP160194;Administración;Fuera de planta
PP210278;Envasado;12 horas - Día 
PP280385;Industrial;12 horas - Noche
PR240574;Industrial;Administrativo
PR261095;Industrial;12 horas - Noche 
PS121276;Industrial;Administrativo
PZ241090;Industrial;Administrativo
RA100857;Agrícola;Administrativo
RA111193;Administración;Fuera de planta
RA210980;Agrícola;Administrativo
RA70700;Planta General ;Administrativo
RC180181;Industrial;Administrativo
RD100965;Operación Enología;12 horas - Backup
RD171071;Envasado;Administrativo
RD180388;Industrial;12 horas - Noche
RH10469;N/A;Administrativo
RH131081;Agrícola;Administrativo
RH90179;Portería;12 Horas
RI281278;Administración;Administrativo
RL140454;Agrícola;Fuera de planta
RM10596;Industrial;12 horas - Backup
RM11080;Operación Enología;12 horas - Día 
RM190185;Administración;12 horas - Día
RM250477;Operación Enología;12 horas - Noche
RM60772;Operación Enología;Administrativo
RM81096;Administración;12 horas - Backup
RO151050;Agrícola;Fuera de planta
RO170192;Industrial;Administrativo
RP271185;Industrial;12 horas - Noche
RR20794;Vendimia;Administrativo
RR310765;Agrícola;Administrativo
RR50173;Administración;Administrativo
RR60490;Operación Enología;Administrativo
RS260862;Envasado;Administrativo
RV10481;Recursos Humanos;Administrativo
RV180552;Gcia. Asuntos Corporativos;Fuera de planta
SG141290;Industrial;12 horas - Backup
SG211296;Operación Enología;Administrativo
SL200792;Industrial;Administrativo
SM30495;Operación Enología;12 horas - Backup
SO110256;Industrial;Fuera de planta
SO260362;Agrícola;Administrativo
SO60578;Industrial;Administrativo
SP200288;Portería;12 horas - Día 
SR291167;Operación Enología;Administrativo
SR50786;Operación Enología;Administrativo
SS250375;Administración;Administrativo
SV230688;Industrial;12 horas - Día
TD230781;Taller ;12 horas - Día 
TF40782;Logística;12 horas - Día 
TR140180;Agrícola;Administrativo
TR91269;Transporte ;Administrativo
TV240993;Administración;Administrativo
VA131092;Administración;Administrativo
VA40854;Agrícola;Fuera de planta
VB191279;Portería;12 Horas
VC60195;Industrial;12 horas - Día
VG220291;Industrial;Administrativo
VL300199;Administración;Administrativo
VN290977;Enología;Administrativo
VO140765;Agrícola;Fuera de planta
VP270893;Administración;Administrativo
VS170560;Gcia. Asuntos Corporativos;Fuera de planta
WE130798;Industrial;Fuera de planta
YB60793;Administración;12 horas - Noche
YC180187;Industrial;12 horas - Día
YD70393;Administración;Administrativo
YM40584;Industrial;12 horas - Día 
YR290684;Agrícola;Administrativo
