,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156
20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,7,8,9,9,9,10,10,10,10,11,11,11,11,11,12,12,12,14,14,15,16,17,17,17,19,19,19,19,20,21,21,22,22,22,23,24,24,25,26,26,26,28,29,29,30,31,31,32,32,32,32,35,35,38,40,42,42,43,45,46,48,49,49,49,54,56,56,56,58,60,61,61,61,63,65,65,66,67,67,69,71,71,72,72,72,72,74,74,74,74,75,75,75,75,76,76,77,77,77,77,77,77,77,77,78,78,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82
25,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,26,2,2,3,3,3,4,4,4,4,4,5,5,5,6,6,7,7,7,7,7,8,9,9,10,13,13,14,15,16,16,18,19,21,21,23,25,26,26,26,29,30,32,32,33,33,34,35,35,38,40,40,41,44,44,46,50,51,53,54,55,56,57,58,62,62,62,63,64,65,66,68,68,68,69,69,70,70,72,72,73,73,73,73,74,74,74,74,74,74,74,75,75,75,75,75,75,76,76,76,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
27,27,2,2,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,7,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,11,11,11,11,11,11,13,14,15,15,16,18,18,19,20,21,21,22,22,24,25,25,25,27,27,27,28,30,32,33,33,33,34,36,37,38,39,39,39,40,41,42,42,43,44,45,46,49,50,52,52,55,57,59,61,61,61,61,61,61,61,62,63,65,67,68,69,70,72,73,74,74,75,76,76,76,76,77,78,78,79,79,80,80,81,81,82,83,84,84,84,84,85,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
28,28,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,6,7,7,7,7,9,11,11,11,12,15,16,16,16,17,18,19,20,20,21,21,21,22,23,24,24,25,26,26,28,30,31,33,33,34,36,37,39,40,42,42,43,46,46,47,47,47,47,47,47,49,49,50,51,52,53,53,54,54,55,55,55,57,57,60,61,61,61,61,61,61,62,65,65,66,66,66,66,66,66,66,68,68,68,69,69,70,70,71,71,72,72,72,74,74,74,75,76,78,78,78,78,78,79,79,79,79,79,79,79,80,80,82,82,82,83,83,83,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85
29,29,1,1,1,1,1,1,1,2,3,3,3,3,3,3,4,4,4,4,4,6,6,6,6,6,7,7,9,9,9,9,9,10,11,11,11,12,13,13,14,15,16,16,16,18,18,18,18,19,21,22,24,27,31,31,31,31,36,36,40,43,44,45,46,47,50,51,56,58,60,62,65,66,66,68,69,72,74,75,75,75,75,75,76,76,77,77,78,78,78,80,80,80,80,81,82,83,84,85,85,85,85,86,86,86,86,86,86,86,87,87,88,88,88,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
