cantidad,tiempo,it,estado,estado_observado,actividad,sintomas
100,117,0,susceptible,susceptible,trabajo,False
100,118,0,susceptible,susceptible,trabajo,False
100,119,0,susceptible,susceptible,trabajo,False
100,120,0,susceptible,susceptible,trabajo,False
100,121,0,susceptible,susceptible,trabajo,False
100,122,0,susceptible,susceptible,trabajo,False
100,123,0,susceptible,susceptible,trabajo,False
100,124,0,susceptible,susceptible,trabajo,False
100,125,0,susceptible,susceptible,trabajo,False
100,126,0,susceptible,susceptible,trabajo,False
100,127,0,susceptible,susceptible,trabajo,False
100,128,0,susceptible,susceptible,trabajo,False
100,129,0,susceptible,susceptible,trabajo,False
100,130,0,susceptible,susceptible,trabajo,False
100,131,0,susceptible,susceptible,trabajo,False
100,132,0,susceptible,susceptible,trabajo,False
100,133,0,susceptible,susceptible,trabajo,False
100,134,0,susceptible,susceptible,trabajo,False
100,135,0,susceptible,susceptible,trabajo,False
100,136,0,susceptible,susceptible,trabajo,False
100,137,0,susceptible,susceptible,trabajo,False
100,138,0,susceptible,susceptible,trabajo,False
100,139,0,susceptible,susceptible,trabajo,False
100,140,0,susceptible,susceptible,trabajo,False
100,141,0,susceptible,susceptible,trabajo,False
100,142,0,susceptible,susceptible,trabajo,False
100,143,0,susceptible,susceptible,trabajo,False
100,144,0,susceptible,susceptible,trabajo,False
100,145,0,susceptible,susceptible,trabajo,False
100,146,0,susceptible,susceptible,trabajo,False
100,147,0,susceptible,susceptible,trabajo,False
100,148,0,susceptible,susceptible,trabajo,False
100,149,0,susceptible,susceptible,trabajo,False
100,150,0,susceptible,susceptible,trabajo,False
100,151,0,susceptible,susceptible,trabajo,False
100,152,0,susceptible,susceptible,trabajo,False
100,153,0,susceptible,susceptible,trabajo,False
100,154,0,susceptible,susceptible,trabajo,False
100,155,0,susceptible,susceptible,trabajo,False
100,156,0,susceptible,susceptible,trabajo,False
97,0,1,susceptible,susceptible,trabajo,False
3,0,1,infeccioso,susceptible,trabajo,False
96,1,1,susceptible,susceptible,trabajo,False
3,1,1,infeccioso,susceptible,trabajo,False
1,1,1,expuesto,susceptible,trabajo,False
96,2,1,susceptible,susceptible,trabajo,False
3,2,1,infeccioso,susceptible,trabajo,False
1,2,1,expuesto,susceptible,trabajo,False
96,3,1,susceptible,susceptible,trabajo,False
1,3,1,infeccioso,susceptible,trabajo,True
2,3,1,infeccioso,susceptible,trabajo,False
1,3,1,expuesto,susceptible,trabajo,False
96,4,1,susceptible,susceptible,trabajo,False
1,4,1,infeccioso,susceptible,trabajo,True
3,4,1,infeccioso,susceptible,trabajo,False
96,5,1,susceptible,susceptible,trabajo,False
1,5,1,infeccioso,susceptible,trabajo,True
3,5,1,infeccioso,susceptible,trabajo,False
94,6,1,susceptible,susceptible,trabajo,False
1,6,1,infeccioso,susceptible,trabajo,True
2,6,1,expuesto,susceptible,trabajo,False
3,6,1,infeccioso,susceptible,trabajo,False
93,7,1,susceptible,susceptible,trabajo,False
